statut_amm,statut_commercialisation,specialite,dosage,forme,presentation,pp_gn,substance_active,classe_therapeutique,epi,ppv,ph,pfht,code,tva
AMM ENREGISTREE,Commercialisé / AO,FONGICAN,150  MG,GELULE,BOITE DE 5,GN,FLUCONAZOLE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"79,4","49,6","47,2853",4281,
AMM ENREGISTREE,Commercialisé / AO,FONGICAN,150  MG,GELULE,BOITE DE 6,GN,FLUCONAZOLE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"90,6","56,6","53,9052",4282,
AMM ENREGISTREE,Commercialisé,FONGICAN,150  MG,GELULE,BOITE DE 7,GN,FLUCONAZOLE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"105,6",66,"62,8616",4283,
AMM ENREGISTREE,Commercialisé / AO,FONGICAN,50  MG,GELULE,BOITE DE 3,GN,FLUCONAZOLE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"26,6","16,6","15,8545",4284,
AMM ENREGISTREE,Commercialisé / AO,FONGICAN,50  MG,GELULE,BOITE DE 7,GN,FLUCONAZOLE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"53,3","33,3","31,7089",4285,
AMM ENREGISTREE,Commercialisé / AO,GINGAM,80  MG,COMPRIME,BOITE DE 20,GN,GLICLAZIDE,METABOLISME- DIABETE - NUTRITION,PHARMED,"23,7","14,8","14,14",4286,
AMM ENREGISTREE,Commercialisé / AO,GINGAM,80  MG,COMPRIME,BOITE DE 60,GN,GLICLAZIDE,METABOLISME- DIABETE - NUTRITION,PHARMED,62,"38,7","36,89",4287,
AMM ENREGISTREE,Commercialisé / AO,ICANAL,20  MG,COMPRIME,BOITE DE 30,GN,NICARDIPINE (CHLORHYDRATE),CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"65,4","40,9","38,9286",4288,
AMM ENREGISTREE,Commercialisé / AO,ICANAL,20  MG,COMPRIME,BOITE DE 50,GN,NICARDIPINE (CHLORHYDRATE),CARDIOLOGIE - ANGEIOLOGIE,PHARMED,109,"68,1","64,881",4289,
AMM ENREGISTREE,Commercialisé / AO,ICANAL RETARD,40  MG,COMPRIME,BOITE DE 30,GN,NICARDIPINE (CHLORHYDRATE),CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"140,2","87,7","83,4821",4290,
AMM ENREGISTREE,Commercialisé,KETOFLEX,"0,025",GEL,TUBE DE 20 G,GN,KETOPROFENE,RHUMATOLOGIE,PHARMED,"16,2","10,1","9,6518",4291,
AMM ENREGISTREE,Commercialisé,KETOFLEX,100  MG,SUPPOSITOIRE,BOITE DE 10,GN,KETOPROFENE,ANESTHESIE - REANIMATION,PHARMED,"22,9","14,3","13,6293",4292,
AMM ENREGISTREE,Commercialisé,KETOFLEX,50  MG,GELULE,BOITE DE 24,GN,KETOPROFENE,ANESTHESIE - REANIMATION,PHARMED,"22,9","14,3","13,6293",4293,
AMM ENREGISTREE,Commercialisé / AO,LORAZEPAM PHARMA,"2,5  MG",COMPRIME,BOITE DE 30,GN,LORAZEPAM,NEUROLOGIE - PSYCHIATRIE,PHARMED,"19,6","12,3","11,6822",4294,
AMM ENREGISTREE,Commercialisé / AO,LORAZEPAM PHARMA,1  MG,COMPRIME,BOITE DE 30,GN,LORAZEPAM,NEUROLOGIE - PSYCHIATRIE,PHARMED,"14,1","8,8","8,4001",4295,
AMM ENREGISTREE,Commercialisé / AO,MAZAX,100  MG,SACHET,BOITE DE 3,GN,AZITHROMYCINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"44,8",28,"26,7023",4296,
AMM ENREGISTREE,Commercialisé / AO,MAZAX,200  MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 15 ML,GN,AZITHROMYCINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"47,7","29,8","28,3712",4297,
AMM ENREGISTREE,Commercialisé / AO,MAZAX,200  MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 30 ML,GN,AZITHROMYCINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,57,"35,6","33,9341",4298,
AMM ENREGISTREE,Commercialisé / AO,MAZAX,200  MG,SACHET,BOITE DE 3,GN,AZITHROMYCINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"78,5","49,1","46,729",4299,
AMM ENREGISTREE,Commercialisé / AO,MAZAX,300  MG,SACHET,BOITE DE 3,GN,AZITHROMYCINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"119,6","74,8","71,2061",4300,
AMM ENREGISTREE,Commercialisé / AO,MAZAX,400  MG,SACHET,BOITE DE 3,GN,AZITHROMYCINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"158,9","99,3","94,5705",4301,
AMM ENREGISTREE,Commercialisé,MAZAX,500  MG,COMPRIME PELLICULE,BOITE DE 3,GN,AZITHROMYCINE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"56,1",35,"33,3778",4302,
AMM ENREGISTREE,Commercialisé,MEXINE,250  MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"35,5","22,2","21,1393",4303,
AMM ENREGISTREE,Commercialisé / AO,MEXINE,250  MG,COMPRIME,BOITE DE 16,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,57,"35,6","33,9341",4304,
AMM ENREGISTREE,Commercialisé,MEXINE,250  MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"67,3",42,"40,0534",4305,
AMM ENREGISTREE,Commercialisé,MEXINE,500  MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,71,"44,4","42,2786",4306,
AMM ENREGISTREE,Commercialisé / AO,MEXINE,500  MG,COMPRIME,BOITE DE 16,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"113,1","70,7","67,312",4307,
AMM ENREGISTREE,Commercialisé / AO,MEXINE,500  MG,COMPRIME,BOITE DE 2,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"30,8","19,3","18,3578",4308,
AMM ENREGISTREE,Commercialisé,MEXINE,500  MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"131,6","82,2","78,32",4309,
AMM ENREGISTREE,Commercialisé,MEXINE,750  MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"126,2","78,8","75,1001",4310,
AMM ENREGISTREE,Commercialisé,NAPROGEL,"0,1",GEL,TUBE DE 50 G,GN,NAPROXENE,ANESTHESIE - REANIMATION,PHARMED,"41,3","25,8","24,5883",4311,
AMM ENREGISTREE,Commercialisé / AO,NAPROGEL,"0,1",GEL,TUBE DE 20 G,GN,NAPROXENE,ANESTHESIE - REANIMATION,PHARMED,"20,1","12,6","11,9882",4312,
AMM ENREGISTREE,Commercialisé / AO,NAPROXENE PHARMA,275  MG,INJECTABLE,BOITE DE 6 AMPOULES DE LYOPHILISAT + 6 AMPOULES DE SOLVANT POUR PREPARATION INJECTABLE (IM),GN,NAPROXENE (SODIQUE),ANESTHESIE - REANIMATION,PHARMED,"30,5","19,1","18,1631",4313,
AMM ENREGISTREE,Commercialisé / AO,NAPROXENE PHARMA,550  MG,GELULE,BOITE DE 15,GN,NAPROXENE (SODIQUE),ANESTHESIE - REANIMATION,PHARMED,"47,8","29,9","28,4824",4314,
AMM ENREGISTREE,Commercialisé / AO,NAPROXENE PHARMA,550  MG,GELULE,BOITE DE 30,GN,NAPROXENE (SODIQUE),ANESTHESIE - REANIMATION,PHARMED,81,"50,6","48,231",4315,
AMM ENREGISTREE,Commercialisé / AO,NAPROXENE PHARMA,550  MG,INJECTABLE,BOITE DE 6 AMPOULES DE LYOPHILISAT +6 AMPOULES DE SOLVANT POUR PREPARATION INJECTABLE (IM),GN,NAPROXENE (SODIQUE),ANESTHESIE - REANIMATION,PHARMED,"74,9","46,8","44,5872",4316,
AMM ENREGISTREE,Commercialisé,NEOCLAV,1 G  /  125  MG,SACHET,BOITE DE 12,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"82,2","51,4","48,9542",4317,
AMM ENREGISTREE,Commercialisé AO / Export,NEOCLAV,1 G  /  125  MG,SACHET,BOITE DE 14,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"95,3","59,6","56,7423",4318,
AMM ENREGISTREE,Commercialisé,NEOCLAV,1 G  /  125  MG,SACHET,BOITE DE 16,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"108,4","67,7","64,5305",4319,
AMM ENREGISTREE,Commercialisé,NEOCLAV,1 G  /  125  MG,SACHET,BOITE DE 24,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"156,1","97,5","92,9016",4320,
AMM ENREGISTREE,Commercialisé,NEOCLAV,"500  MG  /  62,5  MG",SACHET,BOITE DE 12,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"57,9","36,2","34,4904",4321,
AMM ENREGISTREE,Commercialisé AO / Export,NEOCLAV,"500  MG  /  62,5  MG",SACHET,BOITE DE 14,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"67,3",42,"40,0534",4322,
AMM ENREGISTREE,Commercialisé,NEOCLAV,"500  MG  /  62,5  MG",SACHET,BOITE DE 16,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"76,6","47,9","45,6164",4323,
AMM ENREGISTREE,Commercialisé AO / Export,NEOCLAV,"500  MG  /  62,5  MG",SACHET,BOITE DE 24,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"109,3","68,3","65,0868",4324,
AMM ENREGISTREE,Commercialisé / AO,NEOCLAV ENFANT,"100  MG  /  12,5  MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,2 FLACONS DE 60 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"93,4","58,4","55,6297",4325,
AMM ENREGISTREE,Commercialisé,NEOCLAV ENFANT,"100  MG  /  12,5  MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"58,9","36,8","35,0467",4326,
AMM ENREGISTREE,Commercialisé / AO,NEOCLAV NOURRISSON,"100  MG  /  12,5  MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,2 FLACONS DE 30 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"60,5","37,8","36,04",4327,
AMM ENREGISTREE,Commercialisé,NEOCLAV NOURRISSON,"100  MG  /  12,5  MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,FLACON DE 30 ML,GN,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"34,2","21,4","20,36",4328,
AMM ENREGISTREE,Commercialisé / AO,NORMACIDE,150  MG,COMPRIME,BOITE DE 20,GN,RANITIDINE,GASTRO-ENTERO-HEPATOLOGIE,PHARMED,"76,2","47,6","45,3382",4329,
AMM ENREGISTREE,Commercialisé / AO,NORMACIDE,300  MG,COMPRIME,BOITE DE 20,GN,RANITIDINE,GASTRO-ENTERO-HEPATOLOGIE,PHARMED,"114,4","71,5","68,0908",4330,
AMM ENREGISTREE,Commercialisé / AO,NORTEUS,10  MG,COMPRIME,BOITE DE 14,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"30,2","18,9",18,4331,
AMM ENREGISTREE,Commercialisé / AO,NORTEUS,10  MG,COMPRIME,BOITE DE 28,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"53,2","33,3","31,68",4332,
AMM ENREGISTREE,Commercialisé / AO,NORTEUS,5  MG,COMPRIME,BOITE DE 14,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"23,4","14,6","13,93",4333,
AMM ENREGISTREE,Commercialisé / AO,NORTEUS,5  MG,COMPRIME,BOITE DE 28,GN,AMLODIPINE,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"41,2","25,7","24,51",4334,
AMM ENREGISTREE,Commercialisé,GYNASOL,"0,01",CREME DERMIQUE,TUBE DE 30 G,GN,ECONAZOLE (NITRATE),DERMATOLOGIE,PHARMED,"28,1","17,6","16,7445",4335,
AMM ENREGISTREE,Commercialisé,GYNASOL,150  MG,OVULE GYNECOLOGIQUE,BOITE DE 3,GN,ECONAZOLE (NITRATE),GYNECOLOGIE,PHARMED,"41,4","25,9","24,67",4336,
AMM ENREGISTREE,Commercialisé,ZOLUS,20  MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,PHARMED,"49,3","30,8","29,37",4337,
AMM ENREGISTREE,Commercialisé,ZOLUS,20  MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,PHARMED,"89,1","55,7","53,07",4338,
AMM ENREGISTREE,Commercialisé,ZOLUS,20  MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,PHARMED,28,"17,5","16,69",4339,
AMM ENREGISTREE,Commercialisé / AO,PHARMADIPINE,10  MG,CAPSULE,BOITE DE 30,GN,NIFEDIPINE,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"35,9","22,4","21,369",4340,
AMM ENREGISTREE,Commercialisé / AO,PHARMADIPINE,10  MG,CAPSULE,BOITE DE 50,GN,NIFEDIPINE,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"59,8","37,4","35,5952",4341,
AMM ENREGISTREE,Commercialisé / AO,PHARMADIPINE,20  MG,CAPSULE,BOITE DE 25,GN,NIFEDIPINE,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"63,5","39,7","37,7976",4342,
AMM ENREGISTREE,Commercialisé / AO,PHARMAFLAM,50  MG,COMPRIME,BOITE DE 30,GN,DICLOFENAC SODIQUE,ANESTHESIE - REANIMATION,PHARMED,"43,6","27,2","25,95",4343,
AMM ENREGISTREE,Commercialisé / AO,PHARMAFLAM,75  MG,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES (IM),GN,DICLOFENAC SODIQUE,ANESTHESIE - REANIMATION,PHARMED,"40,9","25,6","24,38",4344,
AMM ENREGISTREE,Commercialisé / AO,PHARMAFLAM,100  MG,SUPPOSITOIRE,BOITE DE 10,GN,DICLOFENAC SODIQUE,ANESTHESIE - REANIMATION,PHARMED,"35,3","22,1","21,028",4345,
AMM ENREGISTREE,Commercialisé / AO,PHARMAFLAM RETARD,100  MG,COMPRIME,BOITE DE 10,GN,DICLOFENAC SODIQUE,ANESTHESIE - REANIMATION,PHARMED,"47,8","29,9","28,4824",4346,
AMM ENREGISTREE,Commercialisé / AO,PHARMAFLAM RETARD,100  MG,COMPRIME,BOITE DE 20,GN,DICLOFENAC SODIQUE,ANESTHESIE - REANIMATION,PHARMED,"57,8","36,1","34,407",4347,
AMM ENREGISTREE,Commercialisé / AO,PREMOCEFAL,125  MG  /  5  ML,POUDRE POUR SIROP,FLACON DE 60 ML,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,29,"18,1","17,2452",4348,
AMM ENREGISTREE,Commercialisé / AO,PREMOCEFAL,250  MG  /  5  ML,POUDRE POUR SIROP,FLACON DE 60 ML,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"40,2","25,1","23,9208",4349,
AMM ENREGISTREE,Commercialisé / AO,PREMOCEFAL,1000  MG,COMPRIME,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,100,"62,5","59,5238",4350,
AMM ENREGISTREE,Commercialisé / AO,PREMOCEFAL,500  MG  /  5  ML,POUDRE POUR SIROP,FLACON DE 60 ML,GN,CEFADROXIL,INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,PHARMED,"65,4","40,9","38,9408",4351,
AMM ENREGISTREE,Non Commercialisé,PRODUITS HOMEOPATHIQUES UNITAIRES,0,0,"GRANULES 1° DH A 9° DH CP, TUBE DE 80 GRANULES ENVIRON ET DOSE DE 1 G ENVIRON",NA,HOMEO,METABOLISME NUTRITION DIABETE,PHARMED,13,"8,1","7,73",4352,
AMM ENREGISTREE,Non Commercialisé,PRODUITS HOMEOPATHIQUES UNITAIRES,0,0,"GRANULES 1° DH A 9° DH CP, TUBE DE 80 GRANULES ENVIRON ET DOSE DE 1 G ENVIRON",NA,HOMEO,METABOLISME NUTRITION DIABETE,PHARMED,"15,6","9,7","9,2902",4353,
AMM ENREGISTREE,Commercialisé / AO,TENOCAN,100  MG,COMPRIME,BOITE DE 28,GN,ATENOLOL,CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"52,5","32,8","31,25",4354,
AMM ENREGISTREE,Commercialisé / AO,ATIAF,100  MG,COMPRIME,BOITE DE 10,GN,ACIDE TIAPROFENIQUE,ANESTHESIE - REANIMATION,PHARMED,"10,5","6,6","6,28",4355,
AMM ENREGISTREE,Commercialisé / AO,ATIAF,100  MG,COMPRIME,BOITE DE 20,GN,ACIDE TIAPROFENIQUE,ANESTHESIE - REANIMATION,PHARMED,"18,6","11,6","11,05",4356,
AMM ENREGISTREE,Commercialisé,ATIAF,100  MG,COMPRIME,BOITE DE 30,GN,ACIDE TIAPROFENIQUE,ANESTHESIE - REANIMATION,PHARMED,"24,3","15,2","14,4637",4357,
AMM ENREGISTREE,Commercialisé,ATIAF,200  MG,COMPRIME,BOITE DE 10,GN,ACIDE TIAPROFENIQUE,ANESTHESIE - REANIMATION,PHARMED,"18,9","11,8","11,2372",4358,
AMM ENREGISTREE,Commercialisé,ATIAF,200  MG,COMPRIME,BOITE DE 20,GN,ACIDE TIAPROFENIQUE,ANESTHESIE - REANIMATION,PHARMED,"33,6",21,"20,02",4359,
AMM ENREGISTREE,Commercialisé / AO,TIAZEM,60  MG,COMPRIME,BOITE DE 50,GN,DILTIAZEM (CHLORHYDRATE),CARDIOLOGIE - ANGEIOLOGIE,PHARMED,"137,7","86,1","81,9643",4360,
AMM ENREGISTREE,Commercialisé,TRIBUTINE,150  MG,GELULE,BOITE DE 20,GN,TRIMEBUTINE (MALEATE),GASTRO-ENTERO-HEPATOLOGIE,PHARMED,"42,9","26,8","25,534",4361,
AMM ENREGISTREE,Commercialisé,TRIBUTINE,150  MG,SACHET,BOITE DE 20,GN,TRIMEBUTINE (MALEATE),GASTRO-ENTERO-HEPATOLOGIE,PHARMED,"42,9","26,8","25,534",4362,
AMM ENREGISTREE,Commercialisé,TRIBUTINE,"0,0079",SUSPENSION BUVABLE,"FLACON DE 152,50G DE GRANULE POUR 250ML",GN,TRIMEBUTINE (MALEATE),GASTRO-ENTERO-HEPATOLOGIE,PHARMED,"22,9","14,3","13,6293",4363,
AMM RETIREE,Retiré du Marché,BICALUTAMIDE ACCORD,50  MG,COMPRIME PELLICULE,BOITE DE 28,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,PHARMIS,456,303,"289,07",4364,
AMM ENREGISTREE,Commercialisé,CELENO,25  MG,COMPRIME,Boite de 30,GN,CARVEDILOL,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,"88,1","55,1","52,47",4365,
AMM ENREGISTREE,Commercialisé,CELENO,"6,25  MG",COMPRIME,Boite de 30,GN,CARVEDILOL,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,"43,8","27,4","26,1",4366,
AMM ENREGISTREE,Non Commercialisé,CO-ROSAR,"50  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,51,"31,9","30,36",4367,
AMM ENREGISTREE,Commercialisé,CO-ROSAR,"50  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,101,"63,1","60,12",4368,
AMM ENREGISTREE,Non Commercialisé,CO-ROSAR,100  MG  /  25  MG,COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,75,"46,9","44,64",4369,
AMM ENREGISTREE,Commercialisé,CO-ROSAR,100  MG  /  25  MG,COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,139,"86,9","82,74",4370,
AMM ENREGISTREE,Commercialisé,DOLPINE,10  MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,PHARMIS,76,"47,5","45,27",4371,
AMM ENREGISTREE,Commercialisé / AO,DOLPINE,10  MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,PHARMIS,"145,9","91,2","86,88",4372,
AMM ENREGISTREE,Commercialisé,DOLPINE,5  MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,PHARMIS,53,"33,1","31,57",4373,
AMM ENREGISTREE,Commercialisé / AO,DOLPINE,5  MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,PHARMIS,"95,3","59,6","56,76",4374,
AMM RETIREE,Retiré du Marché,KOMBIGLYSE XR,5  MG  /  1000  MG,COMPRIME PELLICULE,BOITE DE 30,PP,METFORMINE // SAXAGLIPTINE,ENDOCRINOLOGIE ET HORMONES,PHARMIS,386,256,"244,33",4375,
AMM RETIREE,Retiré du Marché,KOMBIGLYSE XR,5  MG  /  500  MG,COMPRIME PELLICULE,BOITE DE 30,PP,METFORMINE // SAXAGLIPTINE,ENDOCRINOLOGIE ET HORMONES,PHARMIS,386,256,"244,33",4376,
AMM ENREGISTREE,Commercialisé,MIRZAM,"1,25  MG",GELULE,Boite de 30,GN,RAMIPRIL,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,40,25,"23,81",4377,
AMM ENREGISTREE,Commercialisé,MIRZAM,10  MG,GELULE,Boite de 30,GN,RAMIPRIL,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,106,"66,2","63,1",4378,
AMM ENREGISTREE,Commercialisé,MIRZAM,"2,5  MG",GELULE,Boite de 30,GN,RAMIPRIL,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,46,"28,7","27,38",4379,
AMM ENREGISTREE,Commercialisé,MIRZAM,5  MG,GELULE,BOITE DE 30,GN,RAMIPRIL,CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,55,"34,4","32,74",4380,
AMM ENREGISTREE,Commercialisé / AO,PRAXBIND,"2,5 G  /  50  ML",SOLUTION INJECTABLE POUR PERFUSION (IV),BOITE DE 2 FLACONS DE 50 ML,PP,IDARUCIZUMAB,CANCEROLOGIE - HEMATOLOGIE,BOTTU,31255,30650,30250,4381,
AMM ENREGISTREE,Non Commercialisé,REGOR,35  MG,COMPRIME PELLICULE,BOITE DE 12,GN,RISEDRONATE MONOSODIQUE,RHUMATOLOGIE,PHARMIS,441,293,"279,31",4382,
AMM ENREGISTREE,Non Commercialisé,REGOR,35  MG,COMPRIME PELLICULE,BOITE DE 4,GN,RISEDRONATE MONOSODIQUE,RHUMATOLOGIE,PHARMIS,"177,6",111,"105,72",4383,
AMM ENREGISTREE,Commercialisé,ROSAR,100  MG,COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN (POTASSIQUE),CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,"138,1","86,3","82,22",4384,
AMM ENREGISTREE,Non Commercialisé,ROSAR,50  MG,COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN (POTASSIQUE),CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,40,25,"23,79",4385,
AMM ENREGISTREE,Commercialisé,ROSAR,50  MG,COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN (POTASSIQUE),CARDIOLOGIE - ANGEIOLOGIE,PHARMIS,"77,2","48,2","45,96",4386,
AMM ENREGISTREE,Commercialisé,SANCUSO,"34,3  MG (3,1  MG  /  24 H)",DISPOSITIF TRANSDERMIQUE,BOITE DE 1 PATCH,PP,GRANISETRON,CANCEROLOGIE - HEMATOLOGIE,SOTHEMA,937,656,"624,88",4387,
AMM ENREGISTREE,Commercialisé,ZAURAC,20  MG,GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,PHARMIS,"37,4","23,4","22,28",4388,
AMM ENREGISTREE,Commercialisé,ZAURAC,20  MG,GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,PHARMIS,"74,8","46,7","44,53",4389,
AMM ENREGISTREE,Commercialisé,ZAURAC,20  MG,GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTERO-HEPATOLOGIE,PHARMIS,"18,7","11,7","11,15",4390,
AMM ENREGISTREE,Commercialisé,ZOFENIL PLUS,"30  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 28,PP,ZOFENOPRIL CALCIUM // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,PHI,"157,9","98,7",94,4391,
AMM ENREGISTREE,Non Commercialisé,AERIUS,"0,5  MG  /   ML",SOLUTION BUVABLE,FLACON DE 60 ML,PP,DESLORATADINE,PNEUMO-ALLERGO-PHTYSIOLOGIE,PHI,"30,8","19,2","18,3274",4392,
